sku,nombre,categorias,subcategorias,foto,precio,special_price_general,ancho,largo,alto,minimo_por_carrito,maximo_por_carrito,sku_up_selling,sku_cross_selling,sku_related_products,medida_estadistica,producto,marca,espesor,color,peso,especificaciones_generales,certificado_fsc,certificaciones_links,usos,ficha_tecnica,hoja_de_seguridad,jerarquias,status
CPD0001,"PRINTEC 864 FIT 1,97 (4T) ANCHO 1,067 M",INDUSTRIA GRÁFICA,CAUCHOS,2,"143,611",,1.067 MTS,N/A,N/A,,,,,,N/A,"CAUCHO, MANTILLA",PRINTEC,1.97 MM,N/A,N/A,"PLANO, 4 TELAS",,,Mantilla ideal para cambios frecuentes de formatos para ser usada con diferentes sustratos en máquinas de pliegos.,https://dimagraf.com/wp-content/uploads/2021/09/Printec-863-864.pdf,,CAUPLADAY,1
CPD0002,"PRINTEC 864 FIT 1,97 (4T) ANCHO 1,080 M",INDUSTRIA GRÁFICA,CAUCHOS,2,"143,611",,1.080 MTS,N/A,N/A,,,,,,N/A,"CAUCHO, MANTILLA",PRINTEC,1.97 MM,N/A,N/A,"PLANO, 4 TELAS",,,Mantilla ideal para cambios frecuentes de formatos para ser usada con diferentes sustratos en máquinas de pliegos.,https://dimagraf.com/wp-content/uploads/2021/09/Printec-863-864.pdf,,CAUPLADAY,1
CPD0003,"PRINTEC 864 FIT 1,97 (4T) ANCHO 1,480 M",INDUSTRIA GRÁFICA,CAUCHOS,2,"143,611",,1.480 MTS,N/A,N/A,,,,,,N/A,"CAUCHO, MANTILLA",PRINTEC,1.97 MM,N/A,N/A,"PLANO, 4 TELAS",,,Mantilla ideal para cambios frecuentes de formatos para ser usada con diferentes sustratos en máquinas de pliegos.,https://dimagraf.com/wp-content/uploads/2021/09/Printec-863-864.pdf,,CAUPLADAY,1
CPD0004,"PRINTEC 864 FIT 1,97 (4T) ANCHO 1,560 M",INDUSTRIA GRÁFICA,CAUCHOS,2,"143,611",,1.560 MTS,N/A,N/A,,,,,,N/A,"CAUCHO, MANTILLA",PRINTEC,1.97 MM,N/A,N/A,"PLANO, 4 TELAS",,,Mantilla ideal para cambios frecuentes de formatos para ser usada con diferentes sustratos en máquinas de pliegos.,https://dimagraf.com/wp-content/uploads/2021/09/Printec-863-864.pdf,,CAUPLADAY,1
CPD0005,"PRINTEC 864 FIT 1,97 (4T) ANCHO 1,680 M",INDUSTRIA GRÁFICA,CAUCHOS,2,"143,611",,1.680 MTS,N/A,N/A,,,,,,N/A,"CAUCHO, MANTILLA",PRINTEC,1.97 MM,N/A,N/A,"PLANO, 4 TELAS",,,Mantilla ideal para cambios frecuentes de formatos para ser usada con diferentes sustratos en máquinas de pliegos.,https://dimagraf.com/wp-content/uploads/2021/09/Printec-863-864.pdf,,CAUPLADAY,1
